Type,Well
HPE,A1
HPE,A2
HPE,A3
HPE,A4
HPE,B1
HPE,B2
HPE,B3
HPE,B4
HPE,C1
HPE,C2
HPE,C3
HPE,C4
HPE,D1
HPE,D2
HPE,D3
HPE,D4
HPE,E1
HPE,E2
HPE,E3
HPE,E4
HPE,F1
HPE,F2
HPE,F3
HPE,F4
HPE,G1
HPE,G2
HPE,G3
HPE,G4
HPE,H1
HPE,H2
HPE,H3
HPE,H4
HPE,I1
HPE,I2
HPE,I3
HPE,I4
HPE,J1
HPE,J2
HPE,J3
HPE,J4
HPE,K1
HPE,K2
HPE,K3
HPE,K4
HPE,L1
HPE,L2
HPE,L3
HPE,L4
HPE,M1
HPE,M2
HPE,M3
HPE,M4
HPE,N1
HPE,N2
HPE,N3
HPE,N4
HPE,O1
HPE,O2
HPE,O3
HPE,O4
HPE,P1
HPE,P2
HPE,P3
HPE,P4
HPE,Q45
HPE,Q46
HPE,Q47
HPE,Q48
HPE,R45
HPE,R46
HPE,R47
HPE,R48
HPE,S45
HPE,S46
HPE,S47
HPE,S48
HPE,T45
HPE,T46
HPE,T47
HPE,T48
HPE,U45
HPE,U46
HPE,U47
HPE,U48
HPE,V45
HPE,V46
HPE,V47
HPE,V48
HPE,W45
HPE,W46
HPE,W47
HPE,W48
HPE,X45
HPE,X46
HPE,X47
HPE,X48
HPE,Y45
HPE,Y46
HPE,Y47
HPE,Y48
HPE,Z45
HPE,Z46
HPE,Z47
HPE,Z48
HPE,AA45
HPE,AA46
HPE,AA47
HPE,AA48
HPE,AB45
HPE,AB46
HPE,AB47
HPE,AB48
HPE,AC45
HPE,AC46
HPE,AC47
HPE,AC48
HPE,AD45
HPE,AD46
HPE,AD47
HPE,AD48
HPE,AE45
HPE,AE46
HPE,AE47
HPE,AE48
HPE,AF45
HPE,AF46
HPE,AF47
HPE,AF48
ZPE,A45
ZPE,A46
ZPE,A47
ZPE,A48
ZPE,B45
ZPE,B46
ZPE,B47
ZPE,B48
ZPE,C45
ZPE,C46
ZPE,C47
ZPE,C48
ZPE,D45
ZPE,D46
ZPE,D47
ZPE,D48
ZPE,E45
ZPE,E46
ZPE,E47
ZPE,E48
ZPE,F45
ZPE,F46
ZPE,F47
ZPE,F48
ZPE,G45
ZPE,G46
ZPE,G47
ZPE,G48
ZPE,H45
ZPE,H46
ZPE,H47
ZPE,H48
ZPE,I45
ZPE,I46
ZPE,I47
ZPE,I48
ZPE,J45
ZPE,J46
ZPE,J47
ZPE,J48
ZPE,K45
ZPE,K46
ZPE,K47
ZPE,K48
ZPE,L45
ZPE,L46
ZPE,L47
ZPE,L48
ZPE,M45
ZPE,M46
ZPE,M47
ZPE,M48
ZPE,N45
ZPE,N46
ZPE,N47
ZPE,N48
ZPE,O45
ZPE,O46
ZPE,O47
ZPE,O48
ZPE,P45
ZPE,P46
ZPE,P47
ZPE,P48
ZPE,Q1
ZPE,Q2
ZPE,Q3
ZPE,Q4
ZPE,R1
ZPE,R2
ZPE,R3
ZPE,R4
ZPE,S1
ZPE,S2
ZPE,S3
ZPE,S4
ZPE,T1
ZPE,T2
ZPE,T3
ZPE,T4
ZPE,U1
ZPE,U2
ZPE,U3
ZPE,U4
ZPE,V1
ZPE,V2
ZPE,V3
ZPE,V4
ZPE,W1
ZPE,W2
ZPE,W3
ZPE,W4
ZPE,X1
ZPE,X2
ZPE,X3
ZPE,X4
ZPE,Y1
ZPE,Y2
ZPE,Y3
ZPE,Y4
ZPE,Z1
ZPE,Z2
ZPE,Z3
ZPE,Z4
ZPE,AA1
ZPE,AA2
ZPE,AA3
ZPE,AA4
ZPE,AB1
ZPE,AB2
ZPE,AB3
ZPE,AB4
ZPE,AC1
ZPE,AC2
ZPE,AC3
ZPE,AC4
ZPE,AD1
ZPE,AD2
ZPE,AD3
ZPE,AD4
ZPE,AE1
ZPE,AE2
ZPE,AE3
ZPE,AE4
ZPE,AF1
ZPE,AF2
ZPE,AF3
ZPE,AF4
